text_ID,volume_ID,page_ID,row_number,text
W1PD133161,I4PD2795,I4PD27950012,11,ཉིད་ཚེ་གྲགས་དྲེགས་ཚུལ་གྱི་རྣམ་པ་སོགས་གཏན་མེད་ཡིན་སྟབས། བྱ་བྲལ་སྤྲང་
W1PD133161,I4PD2795,I4PD27950012,12,པོའི་ཚུལ་བཟུང་ལ་དེ་འདྲའི་མཐུན་རྐྱེན་རྩོལ་སྒྲུབ་མི་འབྱུང་ཚུལ་དང་། རྒྱ་ཆེའི་བྱ་
W1PD133161,I4PD2795,I4PD27950012,13,བ་དེ་ལྟར་འགྲུབ་པ་དཀའ་ཚུལ་གསུངས་ཀྱང་གཏེར་ཆེན་མཆོག་ནས་ནན་བསྐུལ་
W1PD133161,I4PD2795,I4PD27950012,14,གནང་བར་བརྟེན། པར་རྐོ་དབང་ཕྱུག་ཅེས་པ་ཐོག་མའི་པར་རྐོ་མཁན་གང་དེ་
W1PD133161,I4PD2795,I4PD27950012,15,རྙེད་ནས་བཟུང་རིམ་པས་རྗེ་ཉིད་ཀྱི་གསུང་འབུམ་ཤིང་པར་དུ་བརྐོས་པ་སྤྱི་ལོ་
W1PD133161,I4PD2795,I4PD27950012,16,༡༩༥༩ལོའི་ཡར་སྔོན་དུ་ཤར་རྫ་རི་ཁྲོད་དུ་བཞུགས་པ་དང༌། དེ་ཡི་པར་མའང་
W1PD133161,I4PD2795,I4PD27950012,17,སྟོད་སྨད་གང་སར་ཁྱབ་པར་གྱུར་རོ། །
W1PD133161,I4PD2795,I4PD27950012,18,ཕྱིས་སུ་གངས་ཅན་སྤྱི་ཡོངས་ལ་རིག་གསར་གྱི་ཉམས་རྒུད་འོག་སྔ་དཔེ་དང་
W1PD133161,I4PD2795,I4PD27950012,19,པར་ཤིང་སོགས་གཏོར་སྐྱོན་བྱུང་ཤུལ་ལས་ཁྲ་རྒན་དགོན་པའི་འབངས་སྡེའི་
W1PD133161,I4PD2795,I4PD27950012,20,ནང་དུ་པར་མ་ཉར་ཚགས་ཐུབ་ཡོད་རིགས་རྣམས་ཁྲ་དགོན་མཁན་པོ་སྐལ་བཟང་
